timestamp,price,volume,side,bid_price,bid_size,ask_price,ask_size
2024-06-01 10:00:00,3760.05,0.389,buy,3759.91,10.53,3760.28,12.77
2024-06-01 10:00:01,3760.04,0.193,buy,3759.9,7.85,3760.27,11.57
2024-06-01 10:00:02,3760.1,0.165,buy,3759.86,6.93,3760.35,6.74
2024-06-01 10:00:03,3760.25,0.185,buy,3759.99,5.5,3760.37,12.2
2024-06-01 10:00:04,3760.23,0.625,sell,3759.99,13.76,3760.52,10.7
2024-06-01 10:00:05,3760.21,0.146,sell,3759.98,11.0,3760.42,12.24
2024-06-01 10:00:06,3760.36,0.403,buy,3760.08,6.07,3760.59,10.43
2024-06-01 10:00:07,3760.44,0.778,buy,3760.33,12.66,3760.55,14.56
2024-06-01 10:00:08,3760.39,0.365,sell,3760.26,12.56,3760.69,11.27
2024-06-01 10:00:09,3760.45,0.787,buy,3760.27,7.89,3760.66,10.74
2024-06-01 10:00:10,3760.4,0.771,sell,3760.23,6.88,3760.61,13.43
2024-06-01 10:00:11,3760.36,0.321,buy,3760.17,13.14,3760.64,8.79
2024-06-01 10:00:12,3760.38,0.756,sell,3760.24,8.3,3760.67,8.16
2024-06-01 10:00:13,3760.19,0.773,sell,3760.06,13.47,3760.33,10.03
2024-06-01 10:00:14,3760.02,0.458,buy,3759.81,5.44,3760.3,10.84
2024-06-01 10:00:15,3759.96,0.289,buy,3759.67,9.99,3760.21,7.2
2024-06-01 10:00:16,3759.86,0.569,sell,3759.68,6.8,3759.96,11.82
2024-06-01 10:00:17,3759.89,0.929,buy,3759.78,11.72,3760.04,13.02
2024-06-01 10:00:18,3759.8,0.676,buy,3759.56,14.97,3759.98,10.77
2024-06-01 10:00:19,3759.66,0.256,sell,3759.5,9.13,3759.87,10.23
2024-06-01 10:00:20,3759.8,0.714,buy,3759.65,6.0,3760.04,7.95
2024-06-01 10:00:21,3759.78,0.484,buy,3759.62,8.18,3759.92,14.1
2024-06-01 10:00:22,3759.79,0.632,sell,3759.54,13.92,3760.06,12.54
2024-06-01 10:00:23,3759.65,0.761,sell,3759.38,12.66,3759.91,9.8
2024-06-01 10:00:24,3759.59,0.563,sell,3759.37,7.32,3759.82,11.59
2024-06-01 10:00:25,3759.6,0.833,buy,3759.44,14.54,3759.89,8.37
2024-06-01 10:00:26,3759.49,0.75,sell,3759.33,11.22,3759.75,5.6
2024-06-01 10:00:27,3759.52,0.654,buy,3759.4,6.68,3759.67,7.04
2024-06-01 10:00:28,3759.46,0.236,buy,3759.18,10.72,3759.72,5.79
2024-06-01 10:00:29,3759.44,0.852,buy,3759.21,9.51,3759.73,10.08
2024-06-01 10:00:30,3759.38,0.942,buy,3759.27,13.2,3759.5,11.22
2024-06-01 10:00:31,3759.56,0.223,sell,3759.33,8.44,3759.86,8.8
2024-06-01 10:00:32,3759.56,0.539,buy,3759.37,13.75,3759.66,10.3
2024-06-01 10:00:33,3759.45,0.333,buy,3759.16,13.12,3759.66,5.85
2024-06-01 10:00:34,3759.54,0.779,buy,3759.27,11.75,3759.79,12.7
2024-06-01 10:00:35,3759.41,0.749,sell,3759.28,7.59,3759.67,5.33
2024-06-01 10:00:36,3759.43,0.227,sell,3759.19,14.7,3759.68,11.34
2024-06-01 10:00:37,3759.24,0.889,sell,3759.04,10.49,3759.44,9.33
2024-06-01 10:00:38,3759.11,0.263,buy,3758.97,14.08,3759.34,6.84
2024-06-01 10:00:39,3759.13,0.818,buy,3758.89,7.16,3759.37,10.23
2024-06-01 10:00:40,3759.2,0.511,sell,3758.99,14.83,3759.4,12.81
2024-06-01 10:00:41,3759.22,0.395,sell,3759.11,13.16,3759.44,9.14
2024-06-01 10:00:42,3759.2,0.242,buy,3758.98,14.49,3759.47,8.68
2024-06-01 10:00:43,3759.17,0.251,sell,3758.95,7.12,3759.34,6.42
2024-06-01 10:00:44,3759.03,0.696,buy,3758.9,9.31,3759.23,10.95
2024-06-01 10:00:45,3758.95,0.595,sell,3758.79,5.98,3759.06,13.28
2024-06-01 10:00:46,3758.91,0.21,buy,3758.69,6.37,3759.15,10.61
2024-06-01 10:00:47,3759.01,0.201,buy,3758.89,7.84,3759.15,6.65
2024-06-01 10:00:48,3759.05,0.165,buy,3758.78,14.52,3759.25,11.61
2024-06-01 10:00:49,3758.87,0.769,sell,3758.77,11.67,3759.01,5.3
2024-06-01 10:00:50,3758.91,0.741,sell,3758.78,8.15,3759.01,13.38
2024-06-01 10:00:51,3758.87,0.153,buy,3758.74,14.55,3759.06,14.21
2024-06-01 10:00:52,3758.8,0.604,sell,3758.59,12.4,3758.98,10.97
2024-06-01 10:00:53,3758.86,0.176,buy,3758.64,14.07,3759.05,13.82
2024-06-01 10:00:54,3758.96,0.913,sell,3758.78,14.27,3759.1,5.85
2024-06-01 10:00:55,3759.06,0.916,sell,3758.9,12.51,3759.35,7.28
2024-06-01 10:00:56,3758.97,0.728,buy,3758.71,7.43,3759.07,8.17
2024-06-01 10:00:57,3758.94,0.934,sell,3758.83,14.97,3759.22,12.73
2024-06-01 10:00:58,3758.97,0.83,sell,3758.82,8.25,3759.22,9.84
2024-06-01 10:00:59,3759.07,0.846,buy,3758.96,11.72,3759.21,8.48
2024-06-01 10:01:00,3759.02,0.613,buy,3758.92,13.45,3759.22,6.58
2024-06-01 10:01:01,3759.01,0.375,buy,3758.83,6.75,3759.3,13.11
2024-06-01 10:01:02,3758.89,0.296,buy,3758.76,11.09,3759.12,5.21
2024-06-01 10:01:03,3758.78,0.394,sell,3758.62,8.75,3758.9,8.37
2024-06-01 10:01:04,3758.86,0.666,sell,3758.59,7.44,3759.05,7.43
2024-06-01 10:01:05,3758.99,0.255,buy,3758.86,5.12,3759.19,6.29
2024-06-01 10:01:06,3758.99,0.333,sell,3758.73,13.72,3759.25,6.72
2024-06-01 10:01:07,3759.09,0.521,buy,3758.85,6.36,3759.37,9.94
2024-06-01 10:01:08,3759.12,0.31,buy,3758.96,13.78,3759.24,9.26
2024-06-01 10:01:09,3759.06,0.63,buy,3758.85,11.01,3759.22,10.18
2024-06-01 10:01:10,3759.09,0.931,sell,3758.9,11.21,3759.25,12.28
2024-06-01 10:01:11,3759.25,0.773,sell,3759.12,13.29,3759.55,13.92
2024-06-01 10:01:12,3759.24,0.7,sell,3758.96,10.09,3759.46,6.18
2024-06-01 10:01:13,3759.4,0.624,buy,3759.19,8.57,3759.68,5.83
2024-06-01 10:01:14,3759.14,0.539,buy,3758.86,6.39,3759.32,8.2
2024-06-01 10:01:15,3759.22,0.268,sell,3758.96,10.7,3759.46,10.46
2024-06-01 10:01:16,3759.23,0.905,sell,3759.11,10.53,3759.39,6.0
2024-06-01 10:01:17,3759.2,0.324,sell,3759.06,7.94,3759.48,12.16
2024-06-01 10:01:18,3759.21,0.182,sell,3759.08,11.0,3759.4,10.56
2024-06-01 10:01:19,3759.01,0.775,buy,3758.74,9.39,3759.27,12.48
2024-06-01 10:01:20,3758.99,0.258,sell,3758.71,13.06,3759.14,8.58
2024-06-01 10:01:21,3759.02,0.435,sell,3758.82,10.59,3759.26,9.01
2024-06-01 10:01:22,3759.17,0.125,buy,3759.05,14.34,3759.35,13.08
2024-06-01 10:01:23,3759.12,0.223,sell,3758.99,10.18,3759.23,7.67
2024-06-01 10:01:24,3759.04,0.256,sell,3758.78,13.87,3759.22,8.81
2024-06-01 10:01:25,3758.99,0.149,sell,3758.7,10.21,3759.2,5.13
2024-06-01 10:01:26,3759.08,0.691,buy,3758.94,10.58,3759.21,10.55
2024-06-01 10:01:27,3759.11,0.853,buy,3759.01,8.67,3759.25,13.51
2024-06-01 10:01:28,3759.06,0.436,sell,3758.89,9.0,3759.25,5.28
2024-06-01 10:01:29,3759.11,0.887,buy,3759.0,14.33,3759.28,11.14
2024-06-01 10:01:30,3759.12,0.292,sell,3758.85,7.23,3759.31,13.45
2024-06-01 10:01:31,3759.22,0.393,sell,3759.02,6.21,3759.41,9.94
2024-06-01 10:01:32,3759.15,0.236,buy,3758.92,13.3,3759.28,8.13
2024-06-01 10:01:33,3759.11,0.659,sell,3758.93,10.77,3759.25,14.97
2024-06-01 10:01:34,3759.08,0.478,buy,3758.91,7.85,3759.34,5.65
2024-06-01 10:01:35,3758.93,0.652,buy,3758.78,9.32,3759.06,7.1
2024-06-01 10:01:36,3758.96,0.786,buy,3758.7,10.25,3759.19,13.85
2024-06-01 10:01:37,3758.98,0.591,sell,3758.75,10.92,3759.17,7.97
2024-06-01 10:01:38,3758.98,0.665,sell,3758.81,13.21,3759.28,13.2
2024-06-01 10:01:39,3758.96,0.942,sell,3758.8,8.94,3759.07,8.33
2024-06-01 10:01:40,3758.82,0.369,sell,3758.72,11.77,3759.09,13.12
2024-06-01 10:01:41,3758.78,0.423,buy,3758.67,13.35,3758.98,11.86
2024-06-01 10:01:42,3758.74,0.746,sell,3758.52,13.44,3758.84,9.69
2024-06-01 10:01:43,3758.66,0.65,sell,3758.46,7.54,3758.82,10.23
2024-06-01 10:01:44,3758.65,0.261,buy,3758.46,8.5,3758.83,6.78
2024-06-01 10:01:45,3758.69,0.439,buy,3758.42,10.95,3758.85,6.16
2024-06-01 10:01:46,3758.88,0.521,sell,3758.68,13.86,3759.05,12.17
2024-06-01 10:01:47,3758.89,0.477,buy,3758.72,12.9,3759.18,13.49
2024-06-01 10:01:48,3758.92,0.26,sell,3758.79,10.84,3759.09,12.22
2024-06-01 10:01:49,3758.91,0.932,sell,3758.65,14.84,3759.1,14.13
2024-06-01 10:01:50,3758.72,0.786,buy,3758.5,9.39,3758.97,13.9
2024-06-01 10:01:51,3758.72,0.533,buy,3758.6,13.42,3758.98,12.78
2024-06-01 10:01:52,3758.72,0.712,sell,3758.49,13.18,3758.84,13.98
2024-06-01 10:01:53,3758.97,0.908,sell,3758.78,14.08,3759.21,6.67
2024-06-01 10:01:54,3758.95,0.223,sell,3758.69,14.88,3759.15,12.31
2024-06-01 10:01:55,3758.98,0.325,sell,3758.7,9.96,3759.11,12.54
2024-06-01 10:01:56,3758.98,0.588,sell,3758.76,6.96,3759.13,6.54
2024-06-01 10:01:57,3758.86,0.819,buy,3758.61,9.61,3758.97,14.1
2024-06-01 10:01:58,3758.97,0.133,sell,3758.86,13.54,3759.15,5.09
2024-06-01 10:01:59,3759.05,0.986,buy,3758.84,13.36,3759.2,9.35
2024-06-01 10:02:00,3759.13,0.509,buy,3758.88,8.36,3759.31,5.21
2024-06-01 10:02:01,3759.04,0.423,buy,3758.84,5.47,3759.25,10.23
2024-06-01 10:02:02,3759.18,0.363,sell,3758.96,10.1,3759.42,9.12
2024-06-01 10:02:03,3759.04,0.257,sell,3758.76,9.74,3759.26,11.23
2024-06-01 10:02:04,3759.1,0.812,buy,3758.96,5.86,3759.33,12.66
2024-06-01 10:02:05,3759.32,0.96,buy,3759.2,12.95,3759.59,12.69
2024-06-01 10:02:06,3759.22,0.472,buy,3758.98,7.84,3759.49,12.22
2024-06-01 10:02:07,3759.16,0.957,buy,3758.9,11.46,3759.43,6.02
2024-06-01 10:02:08,3759.17,0.841,buy,3758.9,6.01,3759.3,9.17
2024-06-01 10:02:09,3759.12,0.533,sell,3758.89,13.61,3759.27,13.16
2024-06-01 10:02:10,3758.96,0.707,buy,3758.7,12.39,3759.17,11.54
2024-06-01 10:02:11,3758.97,0.491,sell,3758.73,8.88,3759.14,11.81
2024-06-01 10:02:12,3758.87,0.603,buy,3758.75,11.29,3758.99,7.27
2024-06-01 10:02:13,3758.91,0.152,buy,3758.66,6.87,3759.07,8.25
2024-06-01 10:02:14,3758.82,0.727,sell,3758.69,14.85,3759.12,14.56
2024-06-01 10:02:15,3758.98,0.148,sell,3758.83,12.96,3759.15,13.47
